dong_name,safety_cnt,leisure_cnt,food_cnt,health_cnt,conv_cnt,transp_cnt,cafe_cnt,pub_cnt,gu_id,dongx,dongy
홍지동,19,0,38,1,3,19,10,0,23,37.600310,126.957773
신영동,24,2,21,2,0,6,7,0,23,37.602696,126.961378
무악동,29,1,46,9,3,5,8,1,23,37.575906,126.959334
무교동,4,2,46,18,2,0,8,2,24,37.567732,126.979171
다동,21,3,127,7,2,0,25,6,24,37.567577,126.981026
태평로1가,9,3,66,4,1,5,13,0,24,37.568174,126.976805
을지로1가,12,0,34,5,2,5,13,0,24,37.566295,126.980137
을지로2가,9,1,138,23,5,3,42,3,24,37.565757,126.985892
남대문로1가,0,0,9,0,1,2,2,0,24,37.567451,126.982976
삼각동,2,0,3,4,0,1,3,0,24,37.567588,126.983748
수하동,0,1,32,2,3,0,2,0,24,37.567242,126.984082
장교동,2,3,13,3,3,0,2,0,24,37.567116,126.987193
수표동,6,1,24,3,1,1,10,1,24,37.567358,126.989674
소공동,4,0,70,5,5,2,18,0,24,37.563731,126.980135
남창동,44,0,107,19,6,6,31,1,24,37.558450,126.977464
북창동,19,0,103,2,4,0,5,15,24,37.562500,126.978056
태평로2가,2,1,80,6,3,7,17,2,24,37.563334,126.976861
남대문로2가,4,5,20,3,1,6,8,1,24,37.563785,126.981752
남대문로3가,12,1,26,5,0,4,3,0,24,37.561033,126.978259
남대문로4가,13,1,40,5,1,2,6,1,24,37.560635,126.976863
남대문로5가,35,2,145,24,6,9,41,1,24,37.557154,126.974366
봉래동1가,0,1,20,5,1,5,7,0,24,37.558687,126.972589
봉래동2가,13,1,12,1,3,8,7,0,24,37.557841,126.970620
회현동1가,76,1,87,14,7,3,25,0,24,37.557439,126.980748
회현동2가,14,1,21,1,1,3,7,0,24,37.558033,126.983443
회현동3가,2,0,7,2,1,0,1,1,24,37.560060,126.984082
충무로1가,13,7,71,16,7,2,17,0,24,37.561279,126.983430
충무로2가,5,9,80,16,9,3,30,1,24,37.561903,126.987942
명동1가,9,1,57,15,1,0,17,0,24,37.564135,126.984148
명동2가,10,4,137,18,6,0,23,1,24,37.562880,126.984505
남산동1가,14,0,13,6,1,1,2,0,24,37.559260,126.984605
남산동2가,27,0,43,0,1,1,11,0,24,37.558534,126.985813
남산동3가,0,0,7,2,1,0,2,0,24,37.560392,126.987105
저동1가,26,1,28,2,1,3,5,0,24,37.564362,126.987314
충무로4가,16,9,87,8,4,2,12,3,24,37.562463,126.995255
충무로5가,23,0,51,3,3,1,5,0,24,37.562923,126.999921
인현동2가,6,0,52,2,1,0,8,1,24,37.563780,126.995779
예관동,13,0,11,0,1,1,2,0,24,37.564357,126.998220
묵정동,15,0,15,4,1,1,9,0,24,37.561401,127.000871
필동1가,4,0,43,3,1,4,10,2,24,37.560992,126.992264
필동2가,36,3,115,6,1,3,17,3,24,37.558960,126.995427
필동3가,35,1,52,2,2,0,14,3,24,37.559069,126.997152
남학동,2,0,10,0,0,0,2,0,24,37.560410,126.990860
주자동,7,0,2,0,0,0,2,0,24,37.560755,126.989850
예장동,25,1,17,0,0,3,5,0,24,37.557397,126.990492
장충동1가,41,0,30,2,2,3,7,0,24,37.561397,127.007583
장충동2가,95,1,107,2,4,11,15,3,24,37.559910,127.002560
광희동1가,24,0,70,1,2,1,11,0,24,37.565194,127.005069
광희동2가,32,0,20,4,2,6,2,0,24,37.563799,127.008655
쌍림동,8,1,37,6,2,2,12,0,24,37.563176,127.004625
을지로6가,25,15,179,19,16,8,60,3,24,37.566868,127.006310
을지로7가,11,0,18,1,2,1,10,0,24,37.565117,127.009288
을지로4가,8,1,44,18,3,5,16,0,24,37.566587,126.998139
을지로5가,9,0,26,3,3,2,9,0,24,37.566455,127.001862
주교동,14,0,58,2,1,3,15,4,24,37.568136,126.999252
방산동,0,0,6,1,1,3,5,1,24,37.568469,127.001903
오장동,11,1,45,3,4,0,10,4,24,37.564685,127.000700
을지로3가,18,0,164,5,2,5,15,5,24,37.566292,126.992337
입정동,3,0,5,0,2,1,3,0,24,37.567709,126.993042
산림동,11,0,33,0,1,0,3,1,24,37.567564,126.996085
충무로3가,4,2,98,5,3,1,12,1,24,37.562676,126.991874
초동,13,4,104,7,4,0,4,12,24,37.564226,126.992375
인현동1가,5,0,44,0,2,0,13,3,24,37.564472,126.994232
저동2가,1,0,91,12,2,0,19,2,24,37.564385,126.990257
신당동,730,23,781,147,58,49,143,26,24,37.559441,127.013427
흥인동,26,3,66,9,2,3,12,4,24,37.566792,127.016839
무학동,13,0,33,7,3,1,1,3,24,37.564149,127.015091
황학동,89,6,255,27,10,6,27,16,24,37.567940,127.020367
서소문동,10,2,101,22,4,5,24,2,24,37.563075,126.974142
정동,26,3,71,0,2,4,16,0,24,37.566905,126.972078
순화동,24,2,71,9,8,2,10,0,24,37.562471,126.970566
의주로1가,2,0,4,2,0,3,1,0,24,37.564783,126.968176
충정로1가,2,1,6,1,2,1,5,0,24,37.567411,126.968642
중림동,52,1,112,19,5,8,19,7,24,37.558715,126.965840
의주로2가,14,0,1,0,0,0,0,0,24,37.559382,126.969985
만리동1가,27,1,24,0,1,1,4,0,24,37.556408,126.967319
만리동2가,44,0,12,6,3,3,7,0,24,37.553986,126.964150
후암동,232,2,147,19,8,19,16,2,21,37.549171,126.978938
용산동2가,213,1,243,8,10,26,16,1,21,37.544184,126.985110
용산동4가,0,0,0,0,1,4,0,0,21,37.534964,126.986876
갈월동,52,4,83,30,5,10,13,1,21,37.546267,126.972941
남영동,22,4,104,10,1,3,5,0,21,37.542934,126.973410
용산동1가,7,0,2,0,0,3,5,0,21,37.534968,126.977282
동자동,43,1,118,6,7,7,14,0,21,37.551535,126.974137
서계동,111,1,80,11,3,8,11,3,21,37.552113,126.966089
청파동1가,65,1,28,3,1,3,5,0,21,37.548870,126.967046
청파동2가,62,0,73,4,2,10,31,0,21,37.546067,126.967745
청파동3가,55,2,84,6,5,3,13,0,21,37.543407,126.968276
원효로1가,59,5,108,9,4,10,15,2,21,37.539977,126.966998
원효로2가,30,0,65,12,4,5,4,1,21,37.536307,126.963165
신창동,43,0,5,0,1,4,5,0,21,37.535730,126.955199
산천동,9,0,2,5,3,2,1,0,21,37.535428,126.952396
청암동,3,0,2,0,1,4,0,0,21,37.535040,126.946500
원효로3가,35,0,40,1,3,4,3,1,21,37.534140,126.956862
원효로4가,23,1,15,1,0,9,5,0,21,37.533504,126.952763
효창동,88,1,36,12,4,15,9,0,21,37.543291,126.961214
도원동,9,0,13,3,1,6,2,0,21,37.539188,126.957940
용문동,64,0,80,11,3,11,9,0,21,37.537571,126.959936
문배동,0,1,20,1,3,6,3,0,21,37.536423,126.969346
신계동,9,0,20,0,0,3,3,0,21,37.534581,126.964922
한강로1가,20,0,122,8,3,7,11,1,21,37.534384,126.973765
한강로2가,64,1,336,40,9,12,42,1,21,37.531715,126.970242
용산동3가,8,0,19,2,0,1,7,0,21,37.533189,126.974319
용산동5가,16,1,19,2,1,4,8,0,21,37.527123,126.970830
한강로3가,97,35,338,27,12,22,62,1,21,37.524659,126.963299
이촌동,157,7,131,40,8,31,14,3,21,37.524133,126.961987
이태원동,311,7,883,26,18,35,44,8,21,37.536700,126.992151
한남동,230,26,635,31,9,40,63,5,21,37.533889,127.003955
동빙고동,55,2,20,0,2,6,3,0,21,37.523599,126.995949
서빙고동,48,1,10,0,2,13,1,0,21,37.521042,126.993023
주성동,11,0,1,0,0,0,0,0,21,37.522591,126.998382
용산동6가,14,0,12,2,3,6,3,0,21,37.519150,126.983164
보광동,210,2,135,26,7,11,9,0,21,37.528858,126.999766
상왕십리동,5,1,58,8,4,5,3,0,16,37.569332,127.025349
