법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,석유판매업,세탁업,영화상영관,제과점영업,체력단련장업,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,음식점수,장보기시설,쇼핑시설,유흥주점,헬스시설,다방,커피숍,패스트푸드,편의점,마트,음식점
종로2가,0,6,1,0,0,0,0,0,2,0,0,4,13,0,1,0,1,1,1,60,0.0,0.0,0.0,0.0,3.0,21.0,3.0,1.0,0.0,47.0
팔판동,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,16.0
삼청동,0,7,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,100,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,72.0
안국동,1,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,37,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,26.0
소격동,0,1,0,0,0,0,1,0,1,1,0,1,2,0,1,0,0,0,0,44,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,34.0
화동,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,17.0
사간동,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,15.0
송현동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
가회동,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,12.0
재동,0,4,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,3,1,75,0.0,0.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,51.0
계동,0,6,1,0,0,0,1,0,8,0,0,1,2,0,0,0,0,0,1,74,0.0,0.0,0.0,0.0,1.0,22.0,0.0,2.0,0.0,43.0
원서동,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,29,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,20.0
훈정동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
묘동,1,1,0,0,0,0,0,0,3,0,0,2,2,1,0,1,0,2,1,75,0.0,0.0,1.0,0.0,3.0,7.0,3.0,2.0,0.0,62.0
봉익동,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,44,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,31.0
돈의동,1,0,0,0,0,0,1,6,0,0,0,1,1,0,0,0,0,0,0,127,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,89.0
장사동,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,20.0
관수동,0,1,1,0,1,0,0,0,2,0,0,0,3,0,0,0,0,2,1,106,0.0,0.0,4.0,0.0,3.0,8.0,1.0,3.0,0.0,73.0
종로3가,1,7,0,0,0,0,0,0,3,1,0,6,15,0,0,0,0,1,2,70,0.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,0.0,50.0
인의동,0,2,0,1,1,1,2,0,1,0,0,0,4,0,0,0,0,0,1,71,0.0,2.0,2.0,0.0,0.0,8.0,1.0,0.0,2.0,54.0
예지동,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,22.0
원남동,0,4,0,1,1,0,0,0,2,2,0,5,0,0,0,0,0,0,0,39,0.0,0.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,28.0
연지동,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,59,0.0,0.0,6.0,0.0,1.0,11.0,0.0,0.0,0.0,44.0
종로4가,0,6,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,1,41,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,34.0
효제동,0,3,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,2,105,0.0,0.0,13.0,0.0,2.0,6.0,0.0,0.0,0.0,71.0
종로5가,1,7,1,0,0,0,0,0,1,0,0,27,31,0,1,0,0,2,8,225,0.0,0.0,0.0,0.0,5.0,14.0,0.0,2.0,0.0,179.0
종로6가,1,4,9,0,0,0,1,0,2,0,0,5,20,0,1,0,1,1,2,94,0.0,3.0,0.0,0.0,6.0,11.0,1.0,0.0,3.0,77.0
이화동,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,55,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,35.0
연건동,0,15,0,1,0,0,2,0,6,2,2,9,1,0,0,1,0,0,1,70,0.0,0.0,0.0,2.0,0.0,20.0,2.0,0.0,0.0,52.0
충신동,0,3,4,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,32,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,21.0
동숭동,0,2,2,0,0,1,0,0,3,0,0,2,6,0,1,0,1,4,1,256,0.0,0.0,0.0,0.0,2.0,37.0,2.0,4.0,0.0,168.0
혜화동,0,11,5,0,0,1,3,0,1,2,0,4,11,0,2,0,0,0,0,102,0.0,0.0,0.0,3.0,1.0,19.0,3.0,3.0,0.0,67.0
명륜1가,0,5,0,0,1,0,3,0,0,0,0,1,5,0,1,0,0,0,2,50,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,37.0
명륜2가,0,5,2,0,1,1,2,8,0,2,0,1,6,0,0,0,0,7,4,189,0.0,0.0,0.0,0.0,0.0,22.0,5.0,2.0,0.0,108.0
명륜4가,1,2,1,0,0,0,1,0,4,1,0,8,2,0,0,0,0,6,1,229,0.0,0.0,0.0,0.0,3.0,13.0,1.0,2.0,0.0,166.0
명륜3가,0,10,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,2,1,115,0.0,0.0,0.0,0.0,0.0,14.0,3.0,1.0,0.0,68.0
창신동,2,15,1,1,3,0,7,0,7,3,0,11,36,0,2,0,0,7,11,449,1.0,2.0,10.0,4.0,7.0,26.0,5.0,8.0,2.0,298.0
숭인동,2,18,4,2,3,0,8,0,5,5,1,7,14,0,1,1,2,11,6,321,2.0,1.0,11.0,6.0,4.0,16.0,4.0,11.0,3.0,221.0
교남동,0,4,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,1,0,40,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,28.0
평동,1,6,0,0,0,0,0,0,2,0,1,10,5,0,0,0,0,0,1,34,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,31.0
송월동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
홍파동,0,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0
교북동,0,6,0,0,0,0,0,0,3,0,0,1,2,0,1,0,0,0,0,29,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,16.0
행촌동,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0
구기동,0,18,0,1,1,0,3,0,1,1,0,2,3,1,0,0,0,2,2,50,0.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,0.0,28.0
평창동,0,36,1,4,0,3,5,0,3,4,1,3,5,0,0,0,3,0,1,79,0.0,0.0,1.0,4.0,2.0,30.0,0.0,2.0,0.0,58.0
부암동,0,9,1,0,1,2,2,0,3,1,0,0,2,0,0,0,1,0,0,65,0.0,0.0,0.0,1.0,0.0,12.0,2.0,1.0,0.0,40.0
홍지동,0,19,1,0,0,1,1,0,3,0,0,0,1,0,1,0,0,0,0,44,0.0,0.0,0.0,0.0,1.0,9.0,0.0,3.0,0.0,30.0
신영동,0,6,0,2,0,0,2,0,1,1,0,1,1,0,0,1,0,1,0,28,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,15.0
무악동,0,5,0,1,0,0,3,0,3,0,1,5,3,0,0,0,1,1,0,50,1.0,0.0,0.0,1.0,0.0,8.0,3.0,2.0,1.0,31.0
무교동,0,0,0,2,1,0,0,0,0,2,0,4,14,0,0,0,1,0,2,65,0.0,0.0,2.0,2.0,1.0,7.0,1.0,2.0,0.0,38.0
다동,0,0,0,0,0,0,1,0,3,3,0,2,5,0,1,0,1,0,4,163,0.0,0.0,6.0,3.0,2.0,23.0,3.0,2.0,0.0,103.0
태평로1가,0,5,1,2,3,0,0,0,2,3,0,0,4,0,1,0,1,0,3,69,0.0,0.0,0.0,0.0,2.0,11.0,0.0,1.0,0.0,57.0
을지로1가,1,4,0,0,0,0,0,0,4,0,0,1,4,0,0,0,0,0,2,45,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,27.0
을지로2가,0,3,0,0,1,0,0,0,3,1,0,5,18,0,0,0,2,0,7,163,0.0,0.0,0.0,0.0,8.0,34.0,1.0,5.0,0.0,108.0
남대문로1가,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0
삼각동,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
수하동,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,2,41,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,29.0
장교동,0,0,0,1,0,0,1,0,0,2,0,1,2,0,0,0,0,0,1,23,0.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,10.0
수표동,0,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,2,48,0.0,0.0,1.0,1.0,2.0,8.0,0.0,1.0,0.0,18.0
소공동,0,2,0,2,1,0,4,0,14,0,0,2,3,0,0,0,0,0,1,88,0.0,2.0,0.0,0.0,1.0,17.0,2.0,3.0,2.0,59.0
남창동,1,5,0,3,0,0,1,0,3,2,0,6,13,0,1,0,0,1,4,158,0.0,5.0,1.0,0.0,3.0,28.0,1.0,2.0,4.0,86.0
북창동,0,0,0,1,1,0,1,0,2,1,0,1,1,0,0,0,0,2,5,142,0.0,0.0,13.0,0.0,0.0,5.0,0.0,4.0,0.0,91.0
태평로2가,0,7,0,0,0,0,1,0,3,3,0,2,4,0,0,0,0,0,2,110,0.0,0.0,0.0,0.0,1.0,16.0,1.0,3.0,0.0,71.0
남대문로2가,0,6,1,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,24,0.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,17.0
남대문로3가,0,4,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,36,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,20.0
남대문로4가,0,2,0,0,1,0,0,0,0,2,0,1,4,0,0,0,0,0,0,57,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,34.0
남대문로5가,1,8,0,1,3,0,1,0,9,4,0,6,18,0,0,0,1,1,8,205,0.0,0.0,0.0,0.0,9.0,32.0,4.0,6.0,0.0,118.0
봉래동1가,0,5,0,0,0,1,0,0,1,1,0,0,5,0,0,0,0,0,1,28,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,20.0
봉래동2가,0,8,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,11,1.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,9.0
회현동1가,0,3,0,1,0,0,5,0,2,7,0,2,12,0,1,0,0,1,1,144,0.0,1.0,0.0,0.0,4.0,21.0,2.0,6.0,1.0,65.0
회현동2가,0,3,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,1,34,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,16.0
회현동3가,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0
충무로1가,0,2,0,0,1,0,1,6,11,1,1,3,12,0,0,0,0,0,2,77,0.0,2.0,0.0,0.0,4.0,13.0,5.0,6.0,1.0,55.0
충무로2가,1,2,0,1,2,0,1,8,2,2,0,4,12,0,0,0,0,1,4,102,0.0,2.0,0.0,0.0,8.0,22.0,1.0,7.0,2.0,63.0
명동1가,0,0,0,2,1,0,1,0,2,2,1,4,10,0,0,0,0,0,3,64,0.0,0.0,0.0,0.0,3.0,14.0,3.0,1.0,0.0,44.0
명동2가,0,0,2,4,2,0,0,4,3,4,0,3,15,0,1,0,0,2,0,170,0.0,2.0,0.0,0.0,4.0,19.0,3.0,4.0,2.0,104.0
남산동1가,0,1,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,25,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0
남산동2가,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,61,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,34.0
남산동3가,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0
저동1가,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,38,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,23.0
충무로4가,0,2,0,3,0,0,0,9,1,1,0,2,6,1,0,0,0,0,4,113,0.0,1.0,0.0,0.0,3.0,9.0,0.0,3.0,1.0,74.0
충무로5가,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,2,55,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,0.0,36.0
인현동2가,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,64,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,45.0
예관동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0
묵정동,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,18,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,13.0
필동1가,0,4,0,0,1,0,0,0,1,0,0,1,2,0,1,0,0,0,2,61,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,33.0
필동2가,2,1,1,2,0,2,2,3,0,1,0,2,4,0,0,0,0,4,2,143,0.0,0.0,0.0,0.0,2.0,15.0,2.0,1.0,0.0,82.0
필동3가,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,5,67,0.0,0.0,0.0,0.0,0.0,14.0,2.0,2.0,0.0,43.0
남학동,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0
주자동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
예장동,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,16.0
장충동1가,0,3,0,0,0,1,2,0,0,1,0,1,1,0,0,0,0,1,0,29,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,23.0
장충동2가,1,10,0,2,4,1,2,1,9,3,0,0,2,0,1,0,0,2,2,126,0.0,0.0,0.0,0.0,1.0,14.0,0.0,4.0,0.0,89.0
광희동1가,1,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,1,92,0.0,0.0,0.0,0.0,3.0,8.0,1.0,2.0,0.0,58.0
광희동2가,1,5,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,19,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,14.0
쌍림동,0,2,0,0,1,0,2,0,1,1,0,1,5,0,0,0,1,0,1,47,0.0,0.0,0.0,1.0,1.0,11.0,0.0,2.0,0.0,28.0
을지로6가,0,8,16,4,1,0,0,14,6,1,0,7,12,0,0,0,0,2,9,272,0.0,9.0,0.0,0.0,4.0,56.0,9.0,7.0,9.0,144.0
을지로7가,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,25,0.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,12.0
을지로4가,1,4,0,0,0,0,0,0,1,1,0,4,14,0,0,0,0,0,3,61,0.0,1.0,0.0,0.0,3.0,13.0,1.0,2.0,1.0,31.0
을지로5가,0,2,0,1,1,0,0,0,0,1,0,0,3,0,1,0,1,1,3,42,0.0,0.0,0.0,0.0,3.0,6.0,0.0,3.0,0.0,19.0
주교동,1,2,1,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,3,75,0.0,0.0,3.0,0.0,7.0,8.0,0.0,1.0,0.0,51.0
방산동,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,6.0
오장동,0,0,0,2,0,0,1,0,1,0,0,3,0,0,0,0,0,1,0,55,0.0,1.0,4.0,1.0,1.0,9.0,0.0,3.0,1.0,36.0
을지로3가,2,3,1,3,2,1,0,0,2,3,0,1,4,0,1,0,0,0,5,165,0.0,0.0,0.0,0.0,6.0,9.0,0.0,2.0,0.0,103.0
입정동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0
산림동,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,20.0
충무로3가,0,1,1,1,0,0,0,0,0,3,0,0,5,0,0,1,0,0,3,121,0.0,0.0,0.0,0.0,4.0,8.0,0.0,3.0,0.0,80.0
초동,0,0,0,1,0,0,1,3,0,1,0,2,5,0,0,0,0,0,6,111,0.0,0.0,10.0,1.0,1.0,3.0,1.0,4.0,0.0,84.0
인현동1가,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,3,50,0.0,0.0,0.0,0.0,3.0,10.0,0.0,2.0,0.0,35.0
저동2가,0,0,1,1,0,0,0,0,1,0,0,6,6,0,0,0,1,0,3,104,0.0,0.0,0.0,0.0,2.0,17.0,0.0,2.0,0.0,67.0
신당동,6,43,1,15,6,8,41,0,23,24,2,37,108,2,3,2,3,33,39,1039,2.0,18.0,3.0,23.0,15.0,128.0,9.0,39.0,19.0,604.0
흥인동,1,2,0,2,0,0,0,0,2,4,1,4,4,0,0,0,0,0,3,88,0.0,0.0,1.0,3.0,2.0,10.0,0.0,2.0,0.0,52.0
무학동,0,1,0,0,0,1,0,0,0,0,0,2,5,0,0,1,0,9,3,50,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,26.0
황학동,0,6,0,4,2,0,6,0,6,8,0,10,17,0,0,0,0,2,10,323,1.0,2.0,11.0,6.0,4.0,23.0,4.0,7.0,3.0,215.0
서소문동,1,4,1,2,0,0,0,0,3,3,0,4,18,0,1,0,1,0,3,144,0.0,0.0,1.0,2.0,5.0,19.0,1.0,4.0,0.0,85.0
정동,1,3,0,3,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,89,0.0,0.0,0.0,2.0,2.0,14.0,0.0,2.0,0.0,59.0
순화동,0,2,1,3,1,0,1,0,1,3,1,1,7,0,0,0,1,0,1,107,0.0,0.0,0.0,2.0,0.0,10.0,2.0,8.0,0.0,53.0
의주로1가,0,3,0,1,0,0,0,0,1,2,0,0,2,0,0,0,1,0,0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
충정로1가,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,2.0
중림동,0,8,1,1,0,0,4,0,4,2,0,6,13,0,1,0,0,3,3,168,0.0,0.0,3.0,1.0,2.0,17.0,0.0,5.0,0.0,90.0
의주로2가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
만리동1가,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,32,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,18.0
만리동2가,0,3,0,1,0,0,1,0,2,1,0,2,4,0,0,0,4,0,1,14,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1.0,7.0
후암동,0,19,1,1,3,1,6,0,5,1,0,5,14,0,1,1,0,3,2,187,0.0,0.0,0.0,2.0,0.0,16.0,1.0,8.0,0.0,106.0
용산동2가,0,26,4,0,1,0,3,0,5,1,0,2,6,1,0,0,0,2,2,252,0.0,0.0,0.0,0.0,0.0,16.0,1.0,10.0,0.0,159.0
용산동4가,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
갈월동,1,9,1,0,1,0,2,0,5,2,0,4,26,0,0,0,0,3,4,106,0.0,0.0,0.0,4.0,1.0,12.0,2.0,5.0,0.0,53.0
남영동,0,3,0,1,0,1,0,0,0,5,0,2,8,0,0,0,0,7,2,144,1.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,0.0,82.0
용산동1가,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0
동자동,1,6,1,2,1,1,2,0,13,1,0,2,4,1,0,0,0,2,4,171,0.0,0.0,0.0,1.0,0.0,14.0,3.0,7.0,0.0,95.0
서계동,0,8,0,0,0,2,3,0,3,1,1,2,8,0,0,0,0,3,2,104,1.0,0.0,0.0,1.0,0.0,11.0,1.0,2.0,1.0,58.0
청파동1가,0,3,0,1,0,0,5,0,0,1,0,2,1,0,0,0,0,1,0,39,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,21.0
청파동2가,0,10,1,0,1,0,3,0,3,1,0,2,2,0,0,0,0,3,0,107,0.0,0.0,0.0,0.0,0.0,31.0,0.0,2.0,0.0,51.0
청파동3가,0,3,1,2,2,0,2,0,2,1,0,2,4,1,0,0,0,1,1,113,0.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,0.0,61.0
원효로1가,0,10,0,1,0,0,3,0,5,5,0,0,9,0,1,0,0,1,0,116,1.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,1.0,78.0
원효로2가,0,5,0,0,0,1,1,0,2,0,0,2,10,0,0,0,0,5,1,100,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,46.0
신창동,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0
산천동,0,2,0,2,0,0,1,0,3,0,0,1,4,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0
청암동,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
원효로3가,0,4,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,4,0,62,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,33.0
원효로4가,0,9,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,24,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,7.0
효창동,1,14,0,0,0,0,1,0,3,1,0,5,7,0,0,0,1,0,2,50,0.0,0.0,0.0,1.0,0.0,9.0,0.0,4.0,0.0,24.0
도원동,0,6,0,0,1,0,2,0,4,0,0,0,3,0,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,10.0
용문동,0,11,0,0,1,0,3,0,4,0,0,0,11,0,0,0,0,4,1,91,0.0,0.0,0.0,0.0,1.0,8.0,0.0,3.0,0.0,58.0
문배동,0,6,0,0,0,0,4,0,1,1,0,1,0,0,0,0,3,0,0,25,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,15.0
신계동,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,54,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0
한강로1가,2,5,0,1,0,1,4,0,3,0,0,1,7,0,1,0,0,5,3,147,0.0,1.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,90.0
한강로2가,1,11,1,1,0,1,4,0,10,1,0,3,37,0,0,1,0,3,2,370,1.0,2.0,0.0,0.0,3.0,39.0,1.0,6.0,3.0,268.0
용산동3가,0,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,14.0
용산동5가,1,3,0,0,0,0,1,0,3,1,0,0,2,0,1,0,1,0,0,19,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,16.0
한강로3가,0,22,2,2,3,1,5,28,13,6,0,10,17,0,0,0,2,2,3,347,1.0,2.0,0.0,0.0,0.0,62.0,6.0,9.0,3.0,237.0
이촌동,0,31,0,4,3,1,9,0,6,6,1,4,35,1,0,1,7,1,1,201,1.0,0.0,1.0,7.0,3.0,11.0,0.0,7.0,1.0,99.0
이태원동,1,34,3,1,4,0,10,0,16,9,0,2,24,0,1,1,2,10,2,1043,1.0,1.0,4.0,7.0,0.0,44.0,1.0,16.0,2.0,599.0
한남동,1,39,3,3,2,6,9,0,23,26,1,6,24,1,1,0,3,9,2,770,1.0,0.0,1.0,26.0,1.0,62.0,1.0,8.0,1.0,452.0
동빙고동,0,6,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,33,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,14.0
서빙고동,0,13,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,10,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0
주성동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
용산동6가,0,6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,15,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,8.0
보광동,0,11,1,0,5,2,8,0,2,4,0,6,20,0,1,0,0,5,4,191,1.0,0.0,0.0,2.0,0.0,9.0,1.0,6.0,1.0,97.0
상왕십리동,0,5,0,0,0,0,3,0,1,1,0,1,7,0,0,0,1,1,0,55,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,34.0
하왕십리동,1,27,2,4,2,1,10,0,9,8,1,12,35,1,0,0,4,5,2,185,0.0,0.0,0.0,12.0,0.0,28.0,3.0,14.0,2.0,120.0
