법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,석유판매업,세탁업,영화상영관,제과점영업,체력단련장업,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,음식점수,장보기시설,쇼핑시설,유흥주점,헬스시설,다방,커피숍,패스트푸드,편의점,마트,음식점
당산동5가,0,19,2,2,1,0,5,0,6,7,0,6,27,0,1,0,3,4,2,87,0.0,1.0,0.0,0.0,0.0,11.0,2.0,4.0,1.0,65.0
당산동6가,0,5,0,5,1,0,2,0,1,5,0,6,31,0,0,1,0,5,4,135,0.0,0.0,0.0,0.0,1.0,10.0,3.0,12.0,0.0,93.0
당산동,1,17,0,2,1,1,4,0,1,1,0,0,0,0,0,0,0,1,1,37,0.0,0.0,8.0,31.0,0.0,6.0,1.0,6.0,0.0,29.0
도림동,0,24,0,2,2,2,14,0,7,4,0,7,12,1,0,0,1,12,3,155,1.0,1.0,0.0,5.0,1.0,21.0,0.0,10.0,1.0,93.0
문래동1가,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,30,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,21.0
문래동2가,0,3,1,0,0,1,1,0,1,0,1,1,3,0,0,0,0,1,2,114,0.0,0.0,0.0,0.0,2.0,6.0,1.0,2.0,0.0,91.0
문래동3가,1,20,0,6,1,1,3,0,7,10,0,11,33,0,1,0,1,6,9,319,1.0,1.0,0.0,0.0,4.0,42.0,7.0,12.0,1.0,219.0
문래동4가,0,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,1,2,65,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,59.0
문래동5가,0,6,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,23,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,14.0
문래동6가,0,8,0,2,0,0,2,0,2,3,1,3,12,0,0,0,1,0,0,60,0.0,0.0,0.0,0.0,0.0,11.0,1.0,5.0,1.0,43.0
양평동1가,0,10,0,0,0,0,0,0,5,1,0,1,3,0,1,0,0,1,1,127,0.0,2.0,0.0,0.0,2.0,16.0,0.0,2.0,2.0,91.0
양평동2가,1,6,1,3,0,0,3,0,3,2,0,3,7,0,0,0,0,3,1,105,0.0,0.0,0.0,0.0,1.0,9.0,1.0,6.0,0.0,63.0
양평동3가,0,13,0,0,1,1,5,0,6,4,0,2,4,0,0,0,0,1,2,82,2.0,1.0,0.0,0.0,0.0,12.0,4.0,13.0,3.0,49.0
양평동4가,0,8,0,5,0,2,4,0,5,3,0,3,14,1,0,0,0,8,3,239,0.0,0.0,0.0,0.0,3.0,19.0,1.0,7.0,0.0,157.0
양평동5가,0,6,0,0,1,2,1,0,4,3,1,4,7,0,0,0,0,1,1,74,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,40.0
양평동6가,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0
