헬스시설2,영화상영관,여가,dong_id
4,0,4,398
1,0,1,399
2,0,2,400
6,0,6,401
5,0,5,402
4,0,4,403
0,0,0,404
0,0,0,405
31,0,31,406
6,0,6,407
0,0,0,408
12,0,12,409
23,0,23,410
4,0,4,411
1,0,1,412
7,0,7,413
1,0,1,414
17,8,25,415
16,0,16,416
15,6,21,417
84,5,89,418
76,8,84,419
5,0,5,420
58,0,58,421
18,0,18,422
10,0,10,423
0,0,0,424
19,0,19,425
46,5,51,426
126,8,134,427
0,0,0,428
0,0,0,429
1,0,1,430
113,19,132,431
17,0,17,432
63,0,63,433
46,31,77,434
64,0,64,435
84,21,105,436
5,0,5,437
2,0,2,438
1,0,1,439
1,0,1,440
8,0,8,441
6,0,6,442
29,7,36,443
50,0,50,444
16,21,37,445
8,0,8,446
38,0,38,447
24,0,24,448
20,0,20,449
29,0,29,450
47,17,64,451
10,0,10,452
36,0,36,453
15,0,15,454
12,0,12,455
2,0,2,456
17,0,17,457
10,0,10,458
6,0,6,459
21,0,21,460
10,0,10,461
19,0,19,462
38,19,57,463
18,6,24,464
3,0,3,465
