모든병원,약국,보건,dong_id
207,37,244,421
75,22,97,422
25,6,31,423
1,0,1,424
158,23,181,425
151,36,187,426
536,102,638,427
6,4,10,428
1,0,1,429
5,2,7,430
520,101,621,431
94,26,120,432
252,27,279,433
179,34,213,434
248,47,295,435
430,76,506,436
14,6,20,437
19,6,25,438
10,5,15,439
5,1,6,440
51,25,76,441
42,14,56,442
133,28,161,443
178,55,233,444
91,35,126,445
31,36,67,446
67,23,90,447
71,29,100,448
46,16,62,449
129,51,180,450
103,34,137,451
29,10,39,452
89,37,126,453
32,14,46,454
55,19,74,455
45,21,66,456
112,37,149,457
36,10,46,458
11,7,18,459
83,36,119,460
18,16,34,461
69,23,92,462
130,40,170,463
147,58,205,464
28,13,41,465
