지하철역,버스정류소,대중교통,dong_id
0,8,8,398
0,10,10,399
1,6,7,400
0,13,13,401
0,8,8,402
0,6,6,403
0,4,4,404
0,6,6,405
1,142,143,406
1,66,67,407
0,0,0,408
0,38,38,409
2,131,133,410
1,16,17,411
0,26,26,412
0,50,50,413
1,16,17,414
5,82,87,415
2,50,52,416
1,41,42,417
2,210,212,418
1,273,274,419
0,6,6,420
3,159,162,421
0,70,70,422
0,38,38,423
0,7,7,424
2,38,40,425
2,81,83,426
5,182,187,427
0,26,26,428
0,13,13,429
0,24,24,430
2,71,73,431
0,76,76,432
1,25,26,433
6,56,62,434
2,66,68,435
3,44,47,436
0,17,17,437
0,34,34,438
0,17,17,439
0,12,12,440
2,41,43,441
1,27,28,442
2,42,44,443
4,42,46,444
4,21,25,445
0,32,32,446
0,19,19,447
2,17,19,448
1,12,13,449
5,61,66,450
1,48,49,451
2,48,50,452
5,45,50,453
2,32,34,454
1,41,42,455
1,28,29,456
2,40,42,457
1,40,41,458
2,59,61,459
1,36,37,460
3,37,40,461
1,29,30,462
1,54,55,463
3,51,54,464
0,49,49,465
