마트_y,편의점,편의시설,dong_id,편의시설_점수
2,27,29,318,3
2,22,24,319,3
6,24,30,320,3
0,6,6,321,2
3,8,11,322,3
2,3,5,323,2
1,10,11,324,3
1,7,8,325,2
0,0,0,326,1
0,4,4,327,2
1,5,6,328,2
1,9,10,329,2
1,7,8,330,2
2,10,12,331,3
0,2,2,332,1
1,0,1,333,1
1,4,5,334,2
0,8,8,335,2
0,1,1,336,1
6,70,76,337,3
0,1,1,338,1
3,36,39,339,3
1,15,16,340,3
1,13,14,341,3
1,22,23,342,3
2,15,17,343,3
2,27,29,344,3
0,3,3,345,2
0,21,21,346,3
11,69,80,347,3
3,60,63,348,3
3,16,19,349,3
3,45,48,350,3
7,108,115,351,3
3,16,19,352,3
3,53,56,353,3
2,18,20,354,3
0,2,2,355,1
0,21,21,356,3
3,32,35,357,3
0,0,0,358,1
0,0,0,359,1
0,0,0,360,1
0,0,0,361,1
2,15,17,362,3
11,92,103,363,3
0,6,6,364,2
8,35,43,365,3
3,37,40,366,3
1,29,30,367,3
0,8,8,368,2
0,9,9,369,2
0,4,4,370,2
0,11,11,371,3
5,88,93,372,3
8,75,83,373,3
6,54,60,374,3
0,7,7,375,2
0,4,4,376,2
0,5,5,377,2
0,7,7,378,2
2,7,9,379,2
2,0,2,380,1
0,4,4,381,2
0,11,11,382,3
1,5,6,383,2
3,53,56,384,3
0,7,7,385,2
3,7,10,386,2
0,10,10,387,2
0,4,4,388,2
1,4,5,389,2
0,12,12,390,3
0,6,6,391,2
1,10,11,392,3
0,2,2,393,1
0,2,2,394,1
1,12,13,395,3
0,1,1,396,1
0,3,3,397,2
1,5,6,398,2
2,2,4,399,2
0,6,6,400,2
3,13,16,401,3
0,7,7,402,2
0,5,5,403,2
0,4,4,404,2
0,1,1,405,1
5,63,68,406,3
4,30,34,407,3
0,0,0,408,1
0,21,21,409,3
6,43,49,410,3
0,13,13,411,3
0,4,4,412,2
1,11,12,413,3
0,2,2,414,1
3,45,48,415,3
2,19,21,416,3
1,25,26,417,3
12,131,143,418,3
7,162,169,419,3
1,13,14,420,3
2,68,70,421,3
3,52,55,422,3
0,9,9,423,2
0,0,0,424,1
4,24,28,425,3
7,45,52,426,3
6,121,127,427,3
0,4,4,428,2
0,1,1,429,1
0,6,6,430,2
5,160,165,431,3
2,29,31,432,3
3,39,42,433,3
9,73,82,434,3
6,82,88,435,3
8,97,105,436,3
4,5,9,437,2
0,5,5,438,2
0,18,18,439,3
0,2,2,440,1
1,16,17,441,3
0,13,13,442,3
3,29,32,443,3
9,25,34,444,3
5,7,12,445,3
2,14,16,446,3
3,19,22,447,3
3,22,25,448,3
1,17,18,449,3
5,29,34,450,3
4,40,44,451,3
0,11,11,452,3
3,38,41,453,3
2,18,20,454,3
1,19,20,455,3
2,14,16,456,3
4,17,21,457,3
1,20,21,458,3
0,19,19,459,3
4,38,42,460,3
0,19,19,461,3
2,36,38,462,3
4,57,61,463,3
4,74,78,464,3
0,15,15,465,3
