마트_y,편의점,편의시설,dong_id
1,5,6,398
2,2,4,399
0,6,6,400
3,13,16,401
0,7,7,402
0,5,5,403
0,4,4,404
0,1,1,405
5,63,68,406
4,30,34,407
0,0,0,408
0,21,21,409
6,43,49,410
0,13,13,411
0,4,4,412
1,11,12,413
0,2,2,414
3,45,48,415
2,19,21,416
1,25,26,417
12,131,143,418
7,162,169,419
1,13,14,420
2,68,70,421
3,52,55,422
0,9,9,423
0,0,0,424
4,24,28,425
7,45,52,426
6,121,127,427
0,4,4,428
0,1,1,429
0,6,6,430
5,160,165,431
2,29,31,432
3,39,42,433
9,73,82,434
6,82,88,435
8,97,105,436
4,5,9,437
0,5,5,438
0,18,18,439
0,2,2,440
1,16,17,441
0,13,13,442
3,29,32,443
9,25,34,444
5,7,12,445
2,14,16,446
3,19,22,447
3,22,25,448
1,17,18,449
5,29,34,450
4,40,44,451
0,11,11,452
3,38,41,453
2,18,20,454
1,19,20,455
2,14,16,456
4,17,21,457
1,20,21,458
0,19,19,459
4,38,42,460
0,19,19,461
2,36,38,462
4,57,61,463
4,74,78,464
0,15,15,465
