모든병원,약국,보건,dong_id,보건_점수
23,15,38,318,3
36,13,49,319,3
45,23,68,320,3
50,10,60,321,3
44,15,59,322,3
14,4,18,323,2
76,12,88,324,3
5,2,7,325,2
0,1,1,326,1
2,0,2,327,1
34,7,41,328,3
15,1,16,329,2
52,7,59,330,3
8,5,13,331,2
0,0,0,332,1
6,0,6,333,2
12,3,15,334,2
7,2,9,335,2
1,0,1,336,1
191,50,241,337,3
0,0,0,338,1
56,17,73,339,3
69,12,81,340,3
22,7,29,341,3
28,17,45,342,3
10,2,12,343,2
16,11,27,344,2
11,3,14,345,2
57,15,72,346,3
214,49,263,347,3
92,26,118,348,3
45,15,60,349,3
79,36,115,350,3
208,79,287,351,3
34,15,49,352,3
147,41,188,353,3
57,19,76,354,3
1,0,1,355,1
19,8,27,356,2
64,22,86,357,3
0,0,0,358,1
1,1,2,359,1
0,0,0,360,1
0,0,0,361,1
60,15,75,362,3
219,78,297,363,3
11,5,16,364,2
61,17,78,365,3
96,28,124,366,3
63,16,79,367,3
7,3,10,368,2
7,2,9,369,2
11,1,12,370,2
9,1,10,371,2
70,11,81,372,3
108,36,144,373,3
129,40,169,374,3
14,6,20,375,2
0,0,0,376,1
0,4,4,377,1
29,8,37,378,3
24,11,35,379,3
13,5,18,380,2
17,2,19,381,2
5,2,7,382,2
11,3,14,383,2
151,45,196,384,3
6,4,10,385,2
7,1,8,386,2
19,2,21,387,2
16,5,21,388,2
27,6,33,389,3
31,6,37,390,3
0,0,0,391,1
12,7,19,392,2
1,0,1,393,1
4,1,5,394,1
33,11,44,395,3
2,1,3,396,1
0,0,0,397,1
13,3,16,398,2
3,1,4,399,1
7,3,10,400,2
4,2,6,401,2
14,3,17,402,2
8,4,12,403,2
0,0,0,404,1
0,0,0,405,1
131,40,171,406,3
81,39,120,407,3
0,0,0,408,1
32,23,55,409,3
130,52,182,410,3
25,6,31,411,3
5,4,9,412,2
40,24,64,413,3
0,0,0,414,1
154,44,198,415,3
59,17,76,416,3
51,23,74,417,3
275,95,370,418,3
265,103,368,419,3
28,9,37,420,3
207,37,244,421,3
75,22,97,422,3
25,6,31,423,3
1,0,1,424,1
158,23,181,425,3
151,36,187,426,3
536,102,638,427,3
6,4,10,428,2
1,0,1,429,1
5,2,7,430,2
520,101,621,431,3
94,26,120,432,3
252,27,279,433,3
179,34,213,434,3
248,47,295,435,3
430,76,506,436,3
14,6,20,437,2
19,6,25,438,2
10,5,15,439,2
5,1,6,440,2
51,25,76,441,3
42,14,56,442,3
133,28,161,443,3
178,55,233,444,3
91,35,126,445,3
31,36,67,446,3
67,23,90,447,3
71,29,100,448,3
46,16,62,449,3
129,51,180,450,3
103,34,137,451,3
29,10,39,452,3
89,37,126,453,3
32,14,46,454,3
55,19,74,455,3
45,21,66,456,3
112,37,149,457,3
36,10,46,458,3
11,7,18,459,2
83,36,119,460,3
18,16,34,461,3
69,23,92,462,3
130,40,170,463,3
147,58,205,464,3
28,13,41,465,3
