헬스시설2,영화상영관,여가,dong_id,여가_점수
7,0,7,318,3
13,0,13,319,3
11,0,11,320,3
10,0,10,321,3
10,0,10,322,3
3,0,3,323,2
12,0,12,324,3
4,0,4,325,2
0,0,0,326,1
0,0,0,327,1
4,0,4,328,2
5,0,5,329,2
8,0,8,330,3
4,0,4,331,2
1,0,1,332,1
1,0,1,333,1
7,0,7,334,3
4,0,4,335,2
0,0,0,336,1
57,0,57,337,3
0,0,0,338,1
32,5,37,339,3
10,24,34,340,3
12,0,12,341,3
13,0,13,342,3
5,0,5,343,2
14,9,23,344,3
1,0,1,345,1
17,0,17,346,3
68,17,85,347,3
17,0,17,348,3
17,0,17,349,3
45,14,59,350,3
64,5,69,351,3
19,0,19,352,3
62,6,68,353,3
17,0,17,354,3
0,0,0,355,1
5,0,5,356,2
15,10,25,357,3
0,0,0,358,1
0,0,0,359,1
0,0,0,360,1
0,0,0,361,1
11,5,16,362,3
49,18,67,363,3
1,0,1,364,1
14,0,14,365,3
17,1,18,366,3
12,0,12,367,3
1,0,1,368,1
3,0,3,369,2
2,0,2,370,2
3,0,3,371,2
29,6,35,372,3
29,8,37,373,3
27,0,27,374,3
4,7,11,375,3
1,0,1,376,1
3,0,3,377,2
0,0,0,378,1
1,12,13,379,3
1,0,1,380,1
0,0,0,381,1
5,0,5,382,2
6,0,6,383,2
33,9,42,384,3
1,0,1,385,1
1,0,1,386,1
8,0,8,387,3
7,0,7,388,3
7,0,7,389,3
6,0,6,390,2
1,0,1,391,1
5,0,5,392,2
0,0,0,393,1
0,0,0,394,1
11,0,11,395,3
0,0,0,396,1
1,0,1,397,1
4,0,4,398,2
1,0,1,399,1
2,0,2,400,2
6,0,6,401,2
5,0,5,402,2
4,0,4,403,2
0,0,0,404,1
0,0,0,405,1
31,0,31,406,3
6,0,6,407,2
0,0,0,408,1
12,0,12,409,3
23,0,23,410,3
4,0,4,411,2
1,0,1,412,1
7,0,7,413,3
1,0,1,414,1
17,8,25,415,3
16,0,16,416,3
15,6,21,417,3
84,5,89,418,3
76,8,84,419,3
5,0,5,420,2
58,0,58,421,3
18,0,18,422,3
10,0,10,423,3
0,0,0,424,1
19,0,19,425,3
46,5,51,426,3
126,8,134,427,3
0,0,0,428,1
0,0,0,429,1
1,0,1,430,1
113,19,132,431,3
17,0,17,432,3
63,0,63,433,3
46,31,77,434,3
64,0,64,435,3
84,21,105,436,3
5,0,5,437,2
2,0,2,438,2
1,0,1,439,1
1,0,1,440,1
8,0,8,441,3
6,0,6,442,2
29,7,36,443,3
50,0,50,444,3
16,21,37,445,3
8,0,8,446,3
38,0,38,447,3
24,0,24,448,3
20,0,20,449,3
29,0,29,450,3
47,17,64,451,3
10,0,10,452,3
36,0,36,453,3
15,0,15,454,3
12,0,12,455,3
2,0,2,456,2
17,0,17,457,3
10,0,10,458,3
6,0,6,459,2
21,0,21,460,3
10,0,10,461,3
19,0,19,462,3
38,19,57,463,3
18,6,24,464,3
3,0,3,465,2
