,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,석유판매업,세탁업,영화상영관,제과점영업,체력단련장업,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,음식점수,장보기시설,쇼핑시설
375,영등포동1가,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,30,0.0,0.0
376,영등포동2가,0,5,0,0,1,0,2,0,0,1,0,4,0,1,0,0,1,2,2,55,0.0,0.0
377,영등포동3가,0,6,1,0,1,0,1,0,2,0,0,8,29,0,1,0,0,12,6,263,0.0,0.0
378,영등포동4가,0,8,1,0,0,0,0,12,21,3,3,11,21,0,0,1,0,4,4,165,0.0,2.0
379,영등포동5가,1,2,0,0,3,0,1,0,1,1,0,5,13,0,0,0,0,7,3,107,0.0,6.0
380,영등포동6가,0,3,0,1,0,1,0,0,1,0,0,2,17,0,0,0,0,7,2,71,0.0,0.0
381,영등포동7가,0,9,0,1,0,1,3,0,5,3,1,2,4,0,0,0,1,2,1,148,0.0,0.0
382,영등포동8가,0,7,0,1,0,0,2,0,2,4,2,3,9,0,0,0,0,0,2,70,1.0,0.0
383,여의도동,2,58,6,25,9,3,12,9,60,27,0,45,151,0,1,1,1,3,11,1701,2.0,3.0
384,당산동1가,0,5,1,2,0,2,2,0,2,2,0,4,6,0,0,0,0,2,0,140,0.0,1.0
385,당산동2가,0,6,1,0,0,0,1,0,1,0,0,1,7,0,0,0,0,3,1,87,0.0,1.0
386,당산동3가,2,5,0,2,1,1,2,0,7,6,0,2,19,0,0,0,1,20,9,305,0.0,1.0
387,당산동4가,0,6,0,0,0,1,4,0,3,5,0,5,16,0,0,0,3,2,2,108,0.0,0.0
388,당산동5가,0,19,2,2,1,0,5,0,6,7,0,6,27,0,1,0,3,4,2,87,0.0,1.0
389,당산동6가,0,5,0,5,1,0,2,0,1,5,0,6,31,0,0,1,0,5,4,135,0.0,0.0
390,당산동,1,17,0,2,1,1,4,0,1,1,0,0,0,0,0,0,0,1,1,37,0.0,0.0
391,도림동,0,24,0,2,2,2,14,0,7,4,0,7,12,1,0,0,1,12,3,155,1.0,1.0
392,문래동1가,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,30,0.0,0.0
393,문래동2가,0,3,1,0,0,1,1,0,1,0,1,1,3,0,0,0,0,1,2,114,0.0,0.0
394,문래동3가,1,20,0,6,1,1,3,0,7,10,0,11,33,0,1,0,1,6,9,319,1.0,1.0
395,문래동4가,0,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,1,2,65,0.0,0.0
396,문래동5가,0,6,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,23,0.0,0.0
397,문래동6가,0,8,0,2,0,0,2,0,2,3,1,3,12,0,0,0,1,0,0,60,0.0,0.0
398,양평동1가,0,10,0,0,0,0,0,0,5,1,0,1,3,0,1,0,0,1,1,127,0.0,2.0
399,양평동2가,1,6,1,3,0,0,3,0,3,2,0,3,7,0,0,0,0,3,1,105,0.0,0.0
400,양평동3가,0,13,0,0,1,1,5,0,6,4,0,2,4,0,0,0,0,1,2,82,2.0,1.0
401,양평동4가,0,8,0,5,0,2,4,0,5,3,0,3,14,1,0,0,0,8,3,239,0.0,0.0
402,양평동5가,0,6,0,0,1,2,1,0,4,3,1,4,7,0,0,0,0,1,1,74,0.0,0.0
403,양평동6가,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0.0,0.0
404,양화동,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0
405,신길동,1,142,5,12,8,12,43,0,26,28,4,40,127,2,2,2,10,65,18,874,4.0,2.0
406,대림동,1,66,1,8,6,4,23,0,16,5,3,39,78,0,2,0,0,127,13,912,1.0,4.0
407,양평동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
408,노량진동,0,38,6,0,2,2,12,0,13,11,1,23,31,0,0,1,2,27,9,495,0.0,1.0
409,상도동,2,131,5,10,4,6,33,0,34,19,1,52,129,4,1,2,7,42,21,664,4.0,2.0
410,상도1동,1,16,0,0,0,0,5,0,6,3,1,6,24,0,0,0,0,7,0,115,0.0,0.0
411,본동,0,26,0,0,0,0,5,0,2,1,0,4,5,0,1,0,2,1,1,24,0.0,0.0
412,흑석동,0,50,3,3,3,1,13,0,7,5,1,24,39,2,0,0,4,8,12,345,0.0,1.0
413,동작동,1,16,0,0,0,0,1,0,3,1,0,0,0,1,0,0,1,0,0,5,0.0,0.0
414,사당동,5,82,5,9,5,2,42,8,35,16,3,44,151,2,2,0,4,62,14,973,0.0,3.0
415,대방동,2,50,3,5,3,1,13,0,9,13,1,17,58,1,2,0,0,9,6,219,1.0,2.0
416,신대방동,1,41,0,10,4,2,22,6,13,13,3,23,48,0,1,1,1,20,7,345,0.0,1.0
417,봉천동,2,210,16,26,10,6,91,5,66,71,6,95,269,5,3,2,5,101,33,2183,4.0,7.0
418,신림동,1,273,19,14,15,8,123,8,68,66,8,103,257,4,5,2,5,163,48,2419,3.0,2.0
419,남현동,0,6,0,2,1,1,4,0,9,4,1,9,27,0,1,0,1,12,2,197,1.0,0.0
420,방배동,3,159,7,34,9,7,47,0,44,56,7,37,200,3,3,1,0,57,40,1160,1.0,2.0
421,양재동,0,70,3,19,5,8,21,0,36,20,1,22,74,0,1,1,0,71,52,980,2.0,1.0
422,우면동,0,38,1,1,1,2,6,0,7,7,0,6,25,1,1,0,0,1,5,85,0.0,0.0
423,원지동,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,29,0.0,0.0
424,잠원동,2,38,1,13,7,1,13,0,19,16,1,23,157,1,0,0,0,41,11,490,1.0,3.0
425,반포동,2,81,2,25,5,7,25,5,53,40,2,36,149,2,2,2,0,25,12,801,0.0,7.0
426,서초동,5,182,6,67,10,10,60,8,77,121,9,102,527,0,3,2,0,83,80,2169,1.0,6.0
427,내곡동,0,26,0,0,0,1,1,0,2,0,0,4,6,0,1,0,0,0,0,29,0.0,0.0
428,염곡동,0,13,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,4,0.0,0.0
429,신원동,0,24,0,0,1,0,2,0,1,0,0,2,5,0,0,0,0,1,0,51,0.0,0.0
430,역삼동,2,71,7,65,21,7,69,19,74,91,7,101,513,1,1,1,11,65,47,3089,3.0,4.0
431,개포동,0,76,3,14,3,2,28,0,20,12,1,26,93,0,1,1,9,16,16,402,0.0,2.0
432,청담동,1,25,0,27,5,2,22,0,23,60,6,27,246,1,1,0,2,10,3,982,0.0,3.0
433,삼성동,6,56,1,37,6,4,29,31,67,37,6,34,173,1,2,1,6,18,12,1229,3.0,6.0
434,대치동,2,66,7,52,13,4,30,0,45,58,6,47,242,1,2,0,8,25,23,1376,0.0,6.0
435,논현동,3,44,3,48,16,3,53,21,49,75,16,76,414,0,2,1,2,34,27,2054,4.0,5.0
436,압구정동,0,17,2,3,1,0,10,0,42,2,0,6,14,1,1,0,2,0,0,98,0.0,5.0
437,세곡동,0,34,0,1,1,2,2,0,2,2,2,6,17,0,1,0,6,3,1,76,0.0,0.0
438,자곡동,0,17,0,2,0,1,4,0,4,1,0,5,10,0,0,0,6,0,0,79,0.0,0.0
439,율현동,0,12,0,1,0,1,0,0,2,1,0,1,5,0,0,1,0,0,0,29,0.0,0.0
440,일원동,2,41,2,13,2,2,13,0,13,7,1,25,50,0,1,0,4,17,8,222,0.0,1.0
441,수서동,1,27,0,6,0,2,7,0,10,4,1,14,41,1,1,1,4,4,6,194,0.0,0.0
442,도곡동,2,42,3,24,6,6,16,7,23,27,7,28,126,1,0,0,7,11,8,493,2.0,1.0
443,잠실동,4,42,4,15,7,5,33,0,48,42,0,55,178,3,1,2,8,62,16,1021,4.0,5.0
444,신천동,4,21,5,5,3,0,10,21,31,15,0,35,91,0,2,0,5,2,1,420,3.0,3.0
445,풍납동,0,32,1,3,3,1,20,0,11,6,2,36,29,1,1,0,3,19,3,218,2.0,0.0
446,송파동,0,19,2,9,2,3,21,0,23,31,2,23,65,1,0,0,4,26,10,583,2.0,1.0
447,석촌동,2,17,2,6,5,6,22,0,14,18,2,29,69,1,0,0,1,41,9,589,1.0,1.0
448,삼전동,1,12,0,8,2,1,18,0,11,19,3,16,43,0,1,0,1,25,10,318,1.0,0.0
449,가락동,5,61,3,19,5,5,31,0,27,20,7,51,122,1,1,1,5,115,19,951,5.0,1.0
450,문정동,1,48,2,16,5,1,23,17,29,35,3,34,100,1,1,0,11,34,12,1217,2.0,2.0
451,장지동,2,48,0,0,0,5,5,0,16,8,0,10,29,1,1,0,6,0,0,166,0.0,0.0
452,방이동,5,45,2,17,3,3,23,0,21,30,3,37,86,0,1,1,4,73,23,929,2.0,1.0
453,오금동,2,32,0,13,2,3,20,0,12,12,2,14,30,0,1,0,6,17,7,281,1.0,1.0
454,거여동,1,41,1,5,3,2,17,0,10,11,3,19,52,0,0,0,6,26,9,237,1.0,0.0
455,마천동,1,28,1,3,2,3,15,0,7,2,2,21,43,1,1,2,12,24,10,326,0.0,2.0
456,명일동,2,40,5,12,3,3,12,0,23,17,2,37,110,2,1,0,0,29,12,384,4.0,1.0
457,고덕동,1,40,1,1,1,1,10,0,13,6,1,10,35,0,1,1,1,8,4,209,1.0,0.0
458,상일동,2,59,1,6,1,1,11,0,11,5,1,7,10,0,1,1,2,8,2,188,0.0,0.0
459,길동,1,36,1,9,4,0,17,0,16,18,1,36,82,1,0,1,0,40,19,597,2.0,2.0
460,둔촌동,3,37,1,6,2,2,9,0,8,8,0,16,18,0,2,0,1,15,5,190,0.0,0.0
461,암사동,1,29,3,8,3,2,23,0,22,16,0,23,69,1,1,1,1,29,12,422,4.0,0.0
462,성내동,1,54,3,14,4,4,35,19,34,30,5,40,125,1,1,1,0,60,25,994,3.0,2.0
463,천호동,3,51,3,7,3,5,47,6,37,14,6,58,141,2,1,1,0,44,22,1024,3.0,3.0
464,강일동,0,49,0,1,0,1,9,0,8,3,0,13,28,0,1,0,4,1,1,59,0.0,0.0
